School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
ROME CITY SCHOOLS,GANSEVOORT SCHOOL,Oneida,Public School,81,No,0,0,0,81,Yes,09/05/2018,81,0,No,Yes,09/25/2018,www.romecsd.org,411800010001,758 W. Liberty Street,ROME,NY,13440,10/10/2018,10/10/2018,"(43.149482, -75.361773)","758 W. Liberty Street
ROME, NY 13440
(43.219883898000035, -75.47297938899999)"
NYC DOE,Q025,Queens,Public School,96,No,0,0,0,96,Yes,01/31/2017,94,2,Yes,Yes,02/13/2017,http://schools.nyc.gov/SchoolPortals/25/Q025/default.htm,Q025,34-65 192 STREET,Queens,NY,11358,02/14/2017,02/14/2017,"(40.749338, -73.789673)","34-65 192 STREET
Queens, NY 11358
(40.765103142000044, -73.79004173399994)"
ROCKVILLE CENTRE U F S,SOUTH SIDE MIDDLE SCHOOL,Nassau,Public School,18,No,18,0,0,0,Yes,06/24/2016,18,0,Yes,Yes,07/14/2016,www.rvcschools.org,280221030002,67 HILLSIDE AVE,ROCKVILLE CENTRE,NY,11570,11/10/2016,11/10/2016,"(40.715749, -73.601185)","67 HILLSIDE AVE
ROCKVILLE CENTRE, NY 11570
(40.66173712700004, -73.64333632799998)"
NYC DOE,Q164,Queens,Public School,92,No,0,0,0,92,Yes,02/01/2017,88,4,Yes,Yes,03/28/2017,http://schools.nyc.gov/SchoolPortals/25/Q164/default.htm,Q164,138-01 77 AVENUE,Queens,NY,11367,03/29/2017,03/29/2017,"(40.749338, -73.789673)","138-01 77 AVENUE
Queens, NY 11367
(40.72098251300008, -73.82339368199996)"
ROOSEVELT UNION FREE SCHOOL,ROOSEVELT MIDDLE SCHOOL,Nassau,Public School,42,This school has one or more lead-free buildings,0,0,0,42,Yes,10/28/2016,42,0,Yes,No,,http://rooseveltufsd.schoolwires.net,280208030009,335 East Clinton Ave,Roosevelt,NY,11575,11/29/2018,11/29/2018,"(40.715749, -73.601185)","335 East Clinton Ave
Roosevelt, NY 11575
(40.685126438000054, -73.57785508899997)"
OYSTERPONDS UNION FREE SCHOOL,OYSTERPONDS ELEM SCHOOL,Suffolk,Public School,22,No,0,0,0,22,Yes,12/01/2016,22,0,Yes,Yes,12/09/2016,www.oysterponds.org,581002020001,MAIN RD,ORIENT,NY,11957,11/30/2018,11/30/2018,"(40.820237, -73.119032)","MAIN RD
ORIENT, NY 11957
(41.151790507000044, -72.27626908199994)"
NYC DOE,Q882,Queens,Public School,22,No,0,0,0,22,Yes,01/25/2017,21,1,Yes,Yes,02/03/2017,No website for building,Q882,90-36 150 STREET,Queens,NY,11435,02/06/2017,02/06/2017,"(40.749338, -73.789673)","90-36 150 STREET
Queens, NY 11435
(40.702929131000076, -73.80484148499994)"
PITTSFORD CENTRAL SCHOOL,BARKER ROAD MIDDLE SCHOOL,Monroe,Public School,97,No,21,0,0,75,Yes,10/19/2016,69,28,Yes,Yes,11/11/2016,www.pittsfordschools.org,261401060008,75 BARKER RD,PITTSFORD,NY,14534,11/10/2016,11/17/2016,"(43.161748, -77.620143)","75 BARKER RD
PITTSFORD, NY 14534
(43.05911951400003, -77.52642115699996)"
SALMON RIVER CENTRAL SCHOOL,ST REGIS MOHAWK SCHOOL,Franklin,Public School,113,No,0,0,0,113,Yes,09/24/2016,112,1,Yes,Yes,11/29/2016,www.srk12.org,161201040001,ST REGIS MOHAWK SCHOOL,HOGANSBURG,NY,13655,11/10/2016,09/26/2018,"(44.705699, -74.340621)","ST REGIS MOHAWK SCHOOL
HOGANSBURG, NY 13655
(44.97103290000007, -74.70497739999996)"
ROCKY POINT UNION FREE SCHOOL,FRANK J CARASITI ELEM SCHOOL,Suffolk,Public School,54,No,54,0,0,0,Yes,08/27/2016,54,0,Yes,Yes,09/22/2016,Rockypointufsd.org,580209020003,90 ROCKY POINT -YAPHANK RD,ROCKY POINT,NY,11778,10/15/2018,10/15/2018,"(40.820237, -73.119032)","90 ROCKY POINT -YAPHANK RD
ROCKY POINT, NY 11778
(40.94507065600004, -72.94149655199993)"
NYC DOE,M112,New York,Public School,200,No,0,0,0,200,Yes,01/28/2017,189,11,Yes,Yes,02/14/2017,http://schools.nyc.gov/SchoolPortals/04/M112/default.htm,M112,535 EAST 119 STREET,Manhattan,NY,10035,02/15/2017,03/03/2017,"(40.726966, -74.005966)","535 EAST 119 STREET
Manhattan, NY 10035
(40.79649513000004, -73.93050934099995)"
NYC DOE,M267,New York,Public School,99,No,0,0,0,99,Yes,01/04/2017,96,3,Yes,Yes,01/13/2017,http://schools.nyc.gov/SchoolPortals/02/M267/default.htm,M267,213 EAST 63RD STREET,Manhattan,NY,10065,01/24/2017,01/24/2017,"(40.726966, -74.005966)","213 EAST 63RD STREET
Manhattan, NY 10065
(40.76376221400005, -73.96400292499999)"
NYC DOE,Q389,Queens,Public School,44,No,0,0,0,44,Yes,02/01/2017,42,2,Yes,Yes,03/01/2017,No website for building,Q389,96-10 23 AVENUE,Queens,NY,11369,03/02/2017,03/02/2017,"(40.749338, -73.789673)","96-10 23 AVENUE
Queens, NY 11369
(40.76832654700007, -73.87378020799997)"
RONDOUT VALLEY CENTRAL SCHOOL,RONDOUT VALLEY H S,Ulster,Public School,251,No,0,0,0,251,Yes,09/20/2016,114,137,Yes,Yes,10/31/2016,www.rondout.k12.ny.us,620901060001,RONDOUT VALLEY H S,ACCORD,NY,12404,12/07/2016,12/07/2016,"(41.848374, -74.099412)","RONDOUT VALLEY H S
ACCORD, NY 12404
(41.79454227100007, -74.20091755399994)"
RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,PIETER B COEYMANS SCHOOL,Albany,Public School,87,This school has one or more lead-free buildings,20,0,0,67,Yes,05/31/2017,87,0,No,Yes,06/02/2017,www.rcscsd.org,010402060003,66 CHURCH ST,COEYMANS,NY,12045,09/20/2018,09/20/2018,"(42.678066, -73.814233)","66 CHURCH ST
COEYMANS, NY 12045
(42.47408302100007, -73.79943781599997)"
PHOENIX CENTRAL SCHOOL,JOHN C BIRDLEBOUGH H S,Oswego,Public School,158,No,17,0,0,158,Yes,10/05/2016,158,0,Yes,Yes,10/20/2016,http://www.phoenixcsd.org/Portals/0/lead%20test%20results.pdf?ver=2016-10-24-152922-090,462001060006,552 MAIN ST,PHOENIX,NY,13135,10/22/2018,10/22/2018,"(43.39123, -76.31133)","552 MAIN ST
PHOENIX, NY 13135
(43.234854562000066, -76.30572375499997)"
NYC DOE,Q868,Queens,Public School,71,No,0,0,0,71,Yes,01/31/2017,69,2,Yes,Yes,02/10/2017,No website for building,Q868,48-09 CENTER BOULEVARD,Queens,NY,11109,02/13/2017,02/13/2017,"(40.749338, -73.789673)","48-09 CENTER BOULEVARD
Queens, NY 11109
(40.74479517100008, -73.95783545899997)"
RAMAPO CENTRAL SCHOOLS,SLOATSBURG ELEM SCHOOL,Rockland,Public School,84,No,40,0,0,44,Yes,09/28/2016,81,3,Yes,Yes,10/14/2016,ramapocentral.net,500401060004,11 SECOND ST,SLOATSBURG,NY,10974,11/11/2016,11/11/2016,"(41.127287, -74.017033)","11 SECOND ST
SLOATSBURG, NY 10974
(41.16453646000008, -74.18629105199994)"
NYC DOE,Q391,Queens,Public School,54,No,0,0,0,54,Yes,01/26/2017,53,1,Yes,Yes,02/10/2017,No website for building,Q391,4415 JUDGE STREET,Queens,NY,11373,02/13/2017,02/13/2017,"(40.749338, -73.789673)","4415 JUDGE STREET
Queens, NY 11373
(40.74304083000004, -73.87746346499995)"
ONEIDA CITY SCHOOLS,W F PRIOR ELEMENTARY SCHOOL,Madison,Public School,53,No,17,0,0,36,Yes,12/09/2016,50,3,Yes,Yes,01/12/2017,www.oneidacsd.org,251400010006,EAST AVENUE,ONEIDA,NY,13421,01/19/2017,01/19/2017,"(42.986917, -75.720031)","EAST AVENUE
ONEIDA, NY 13421
(43.09035029000006, -75.64592311099995)"
NYC DOE,Q273,Queens,Public School,86,No,0,0,0,86,Yes,01/25/2017,86,0,No,Yes,02/07/2017,http://schools.nyc.gov/SchoolPortals/27/Q273/default.htm,Q273,88-07 102ND STREET,Queens,NY,11418,02/08/2017,02/08/2017,"(40.749338, -73.789673)","88-07 102ND STREET
Queens, NY 11418
(40.69366438800006, -73.84460321099994)"
PEARL RIVER UNION FREE SCHOOL,EVANS PARK SCHOOL,Rockland,Public School,90,No,90,0,0,18,Yes,10/14/2016,90,0,Yes,Yes,10/14/2016,www.pearlriver.org,500308030003,40 MARION PL,PEARL RIVER,NY,10965,11/10/2016,11/10/2016,"(41.127287, -74.017033)","40 MARION PL
PEARL RIVER, NY 10965
(41.065925185000026, -74.01169666499999)"
NYC DOE,R054,Richmond,Public School,122,No,0,0,0,122,Yes,12/23/2016,101,21,Yes,Yes,02/03/2017,http://schools.nyc.gov/SchoolPortals/31/R054/default.htm,R054,1060 WILLOWBROOK ROAD,Staten Island,NY,10314,02/06/2017,02/06/2017,"(40.566763, -74.148102)","1060 WILLOWBROOK ROAD
Staten Island, NY 10314
(40.60322955100003, -74.13771996599996)"
ROCHESTER CITY SCHOOLS,SCHOOL 50 HELEN BARRETT MONTGOMERY,Monroe,Public School,92,No,66,0,0,27,Yes,11/14/2016,92,0,Yes,Yes,11/15/2016,rcsdk12.org,261600010050,301 SENECA AVE,ROCHESTER,NY,14621,01/03/2017,01/03/2017,"(43.161748, -77.620143)","301 SENECA AVE
ROCHESTER, NY 14621
(43.19303457600006, -77.60882759299994)"
PINE PLAINS CENTRAL SCHOOL DISTRICT,STISSING SHS,Dutchess,Public School,158,No,0,0,0,158,Yes,10/22/2016,96,62,Yes,Yes,11/30/2016,http://www.ppcsd.org,131301040002,2829 CHURCH ST,PINE PLAINS,NY,12567,12/21/2016,12/21/2016,"(41.686216, -73.840468)","2829 CHURCH ST
PINE PLAINS, NY 12567
(41.98131315200004, -73.66339997599994)"
NYC DOE,Q239,Queens,Public School,162,No,0,0,0,162,Yes,01/26/2017,147,15,Yes,Yes,03/01/2017,http://schools.nyc.gov/SchoolPortals/24/Q239/default.htm,Q239,17-15 WEIRFIELD STREET,Queens,NY,11385,03/02/2017,03/02/2017,"(40.749338, -73.789673)","17-15 WEIRFIELD STREET
Queens, NY 11385
(40.69932368000008, -73.90366527799995)"
ONEIDA CITY SCHOOLS,DURHAMVILLE SCHOOL,Madison,Public School,45,No,14,0,0,31,Yes,11/29/2016,44,1,Yes,Yes,11/29/2016,www.oneidacsd.org,251400010002,5462 MAIN STREET,DURHAMVILLE,NY,13054,12/03/2016,12/03/2016,"(42.986917, -75.720031)","5462 MAIN STREET
DURHAMVILLE, NY 13054
(43.12744740100004, -75.67755726499996)"
PEMBROKE CENTRAL SCHOOL,PEMBROKE PRIMARY SCHOOL,Genesee,Public School,43,No,0,0,0,43,Yes,09/14/2016,39,4,Yes,Yes,09/29/2016,www.pembrokecsd.org,181302040003,RT 5 & WEST AVE,E PEMBROKE,NY,14056,10/30/2018,10/14/2016,"(43.000121, -78.172679)","RT 5 &amp; WEST AVE
E PEMBROKE, NY 14056
(42.99516076300006, -78.31472399999996)"
NYC DOE,M048,New York,Public School,145,No,0,0,0,145,Yes,01/31/2017,138,7,Yes,Yes,01/30/2017,http://schools.nyc.gov/SchoolPortals/06/M048/default.htm,M048,4360-78 BROADWAY,Manhattan,NY,10033,02/09/2017,03/08/2017,"(40.726966, -74.005966)","4360-78 BROADWAY
Manhattan, NY 10033
(40.85375030900008, -73.93384164699995)"
NYC DOE,Q214,Queens,Public School,105,No,0,0,0,105,Yes,01/27/2017,94,11,Yes,Yes,02/13/2017,http://schools.nyc.gov/SchoolPortals/25/Q214/default.htm,Q214,31-15 140 STREET,Queens,NY,11354,02/14/2017,02/14/2017,"(40.749338, -73.789673)","31-15 140 STREET
Queens, NY 11354
(40.77012006900003, -73.82859567899999)"
NYC DOE,Q008,Queens,Public School,128,No,0,0,0,128,Yes,02/01/2017,111,17,Yes,Yes,02/13/2017,http://schools.nyc.gov/SchoolPortals/28/Q008/default.htm,Q008,108-35 167 STREET,Queens,NY,11433,02/14/2017,02/14/2017,"(40.749338, -73.789673)","108-35 167 STREET
Queens, NY 11433
(40.696936261000076, -73.78698080799995)"
NYC DOE,Q206,Queens,Public School,62,No,0,0,0,62,Yes,01/26/2017,58,4,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/28/Q206/default.htm,Q206,61-02 98 STREET,Queens,NY,11374,02/03/2017,02/03/2017,"(40.749338, -73.789673)","61-02 98 STREET
Queens, NY 11374
(40.73470572800005, -73.86083464099994)"
NYC DOE,R053,Richmond,Public School,117,No,0,0,0,117,Yes,12/23/2016,113,4,Yes,Yes,01/05/2017,http://schools.nyc.gov/SchoolPortals/31/R053/default.htm,R053,330 DURANT AVENUE,Staten Island,NY,10308,01/20/2017,01/20/2017,"(40.566763, -74.148102)","330 DURANT AVENUE
Staten Island, NY 10308
(40.55234847100007, -74.13731444799998)"
NYC DOE,Q382,Queens,Public School,27,No,0,0,0,27,Yes,01/25/2017,27,0,No,Yes,01/30/2017,No website for building,Q382,89-14 PARSONS BOULEVARD,Queens,NY,11432,02/03/2017,02/03/2017,"(40.749338, -73.789673)","89-14 PARSONS BOULEVARD
Queens, NY 11432
(40.705380525000066, -73.80147151599994)"
NYC DOE,Q471,Queens,Public School,7,No,0,0,0,7,Yes,02/11/2017,0,7,Yes,Yes,02/27/2017,No website for building,Q471,167-01 GOTHIC DRIVE,Queens,NY,11432,02/28/2017,02/28/2017,"(40.749338, -73.789673)","167-01 GOTHIC DRIVE
Queens, NY 11432
(40.713397265000026, -73.79713271199995)"
